id,source,title,author,pub-year,pub-decade,nation,genre,canonical,Multi-volume,gutenberg_url,ht_bib_key,narr-perspective,subjects,bookshelves,copyright,download_count,authors
51898,gutenberg,Beauchamp,"James, George Payne Rainsford",1846.0,1840-1849,English,nan,False,nan,https://www.gutenberg.org/cache/epub/51898/pg51898-images.html,nan,3rd,Great Britain -- History -- 18th century -- Fiction,Browsing: Fiction; Browsing: History - British; Browsing: Literature,False,149,"James, G. P. R. (George Payne Rainsford) (None-1860)"
7684,gutenberg,"Harold, the Last of the Saxons","Bulwer-Lytton, Edward",1848.0,1840-1849,English,nan,True,nan,https://www.gutenberg.org/cache/epub/7684/pg7684-images.html,nan,3rd,"Anglo-Saxons -- Kings and rulers -- Fiction; Biographical fiction; Great Britain -- History -- Edward, the Confessor, 1042-1066 -- Fiction; Great Britain -- Kings and rulers -- Fiction; Harold, King of England, 1022?-1066 -- Fiction; William I, King of England, 1027 or 8-1087 -- Fiction",Browsing: Fiction; Browsing: History - British; Browsing: Literature; Historical Fiction,False,437,"Lytton, Edward Bulwer Lytton, Baron (1803-1873)"
26236,gutenberg,Vixen,"Braddon, Mary Elizabeth",1879.0,1870-1879,English,nan,True,nan,https://www.gutenberg.org/cache/epub/26236/pg26236-images.html,nan,3rd,Domestic fiction; English fiction -- 19th century; Psychological fiction; Women -- England -- Fiction,Browsing: Fiction; Browsing: Gender & Sexuality Studies; Browsing: Literature,False,144,"Braddon, M. E. (Mary Elizabeth) (1835-1915)"
153,gutenberg,Jude the Obscure,"Hardy, Thomas",1895.0,1890-1899,English,nan,True,nan,https://www.gutenberg.org/cache/epub/153/pg153-images.html,nan,3rd,Adultery -- Fiction; Children -- Death -- Fiction; Didactic fiction; Illegitimate children -- Fiction; Love stories; Stonemasons -- Fiction; Unmarried couples -- Fiction; Wessex (England) -- Fiction,Banned Books from Anne Haight's list; Browsing: Culture/Civilization/Society; Browsing: Fiction; Browsing: Literature,False,1967,"Hardy, Thomas (1840-1928)"
61804,gutenberg,Sheer Off,A.L.O.E.,1870.0,1870-1879,English,nan,False,nan,https://www.gutenberg.org/cache/epub/61804/pg61804-images.html,nan,3rd,Almshouses -- Juvenile fiction; Charity -- Juvenile fiction; Christian converts from Judaism -- Juvenile fiction; Christian life -- Juvenile fiction; Marriage -- Juvenile fiction; Sailors -- Juvenile fiction,Browsing: Children & Young Adult Reading; Browsing: Fiction; Browsing: Religion/Spirituality/Paranormal,False,219,A. L. O. E. (1821-1893)
4053,gutenberg,Nuttie's Father,"Yonge, Charlotte",1885.0,1880-1889,English,nan,False,nan,https://www.gutenberg.org/cache/epub/4053/pg4053-images.html,nan,3rd,England -- Social life and customs -- 19th century -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Fiction; Browsing: Literature,False,118,"Yonge, Charlotte M. (Charlotte Mary) (1823-1901)"
1264,gutenberg,The Wheels of Chance: A Bicycling Idyll,"Wells, H.G.",1896.0,1890-1899,English,nan,True,nan,https://www.gutenberg.org/cache/epub/1264/pg1264-images.html,nan,3rd,Cycling -- Fiction; England -- Social conditions -- 19th century -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Fiction,False,327,"Wells, H. G. (Herbert George) (1866-1946)"
51352,gutenberg,Agnes Sorrel,"James, George Payne Rainsford",1853.0,1850-1859,English,nan,False,nan,https://www.gutenberg.org/cache/epub/51352/pg51352-images.html,nan,3rd,"Sorel, Agnès, approximately 1422-1450 -- Fiction",Browsing: Fiction; Browsing: History - Medieval/The Middle Ages; Browsing: Literature,False,209,"James, G. P. R. (George Payne Rainsford) (None-1860)"
42,gutenberg,Strange Case of Dr. Jekyl and Mr. Hyde,"Stevenson, Robert Louis",1886.0,1880-1889,Scottish,nan,True,nan,https://www.gutenberg.org/files/43/43-h/43-h.htm,nan,3rd,Horror tales; London (England) -- Fiction; Multiple personality -- Fiction; Physicians -- Fiction; Psychological fiction; Science fiction; Self-experimentation in medicine -- Fiction,Browsing: Fiction; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Gothic Fiction; Horror; Movie Books; Precursors of Science Fiction,False,2026,"Stevenson, Robert Louis (1850-1894)"
766,gutenberg,David Copperfield,"Dickens, Charles",1850.0,1850-1859,English,nan,True,nan,https://www.gutenberg.org/cache/epub/766/pg766-images.html,nan,1st,Autobiographical fiction; Bildungsromans; Boys -- Fiction; Child labor -- Fiction; England -- Fiction; Orphans -- Fiction; Stepfathers -- Fiction; Young men -- Fiction,Browsing: Biographies; Browsing: Fiction; Browsing: Literature; Harvard Classics,False,6796,"Dickens, Charles (1812-1870)"
