title,label,name_sequence,name_switch_ratio
Wolfville_3732,short story collection,"['None', 'Old', 'Jack', 'Cherokee', 'Wilkins', 'Annie', 'Jim', 'Jim', 'Dave', 'Red', 'Cherokee', 'Old', 'Jack', 'Yallerhouse', 'Cherokee', 'Colonel', 'Jim', 'Jaybird', 'Bill', 'Billy', 'Mace', 'Red', 'Bill', 'Texas', 'Bill', 'Project']",0.96
While_the_Billy_Boils_7144,short story collection,"['Henry', 'The', 'And', 'Tom', 'Bill', 'Tom', 'The', 'The', 'Bobbie', 'Australia', 'The', 'Arvie', 'The', 'The', 'Mitchell', 'The', 'Steelman', 'The', 'The', 'The', 'The', 'She', 'Lizzie', 'You', 'Then', 'Arvie', 'The', 'Brummy', 'The', 'The', 'Malachi', 'Mrs', 'Dave', 'Steelman', 'Baldy', 'Lawson', 'Project', 'Project']",0.8108108108108109
50329_The_Woodman__A_Romance_of_the_Times_of_Richard_III,novel,"['She', 'The', 'The', 'The', 'Chartley', 'Sir', 'Lord', 'The', 'Iola', 'The', 'Iola', 'The', 'The', 'Iola', 'Chartley', 'Catesby', 'Chartley', 'Chartley', 'Richard', 'Iola', 'Fulmer', 'Chartley', 'Sam', 'Constance', 'Fulmer', 'Fulmer', 'Iola', 'Richmond', 'God', 'Chartley', 'Richard', 'Richard', 'Chartley', 'Constance', 'Arden', 'Arden', 'Richmond', 'Lord', 'Boyd', 'Chartley', 'Mary', 'Iola', 'Richmond', 'Chartley', 'Iola', 'Iola', 'Chartley', 'Richmond', 'Project']",0.8333333333333334
59144_The_Master_of_Greylands__A_Novel,novel,"['Castlemaine', 'Castlemaine', 'Bent', 'Castlemaine', 'Castlemaine', 'Castlemaine', 'Anthony', 'Thomas', 'Castlemaine', 'Castlemaine', 'Castlemaine', 'Bent', 'The', 'Guise', 'Castlemaine', 'Madame', 'Hallet', 'Castlemaine', 'Ethel', 'Castlemaine', 'Castlemaine', 'Jane', 'Sister', 'North', 'George', 'North', 'Mary', 'Walter', 'Mary', 'North', 'Jane', 'Sister', 'Jane', 'Ethel', 'Mary', 'Harry', 'George', 'George', 'Project']",0.8157894736842105
New_Arabian_Nights_839,short story collection,"['Northmour', 'Northmour', 'Northmour', 'The', 'You', 'Northmour', 'Northmour', 'Northmour', 'The', 'Denis', 'Berthelini', 'The', 'The', 'Stubbs', 'The', 'Project']",0.6666666666666666
16911_The_Romance_of_the_Coast,novel,"['Project', 'Project']",0.0
7628_Devereux___Volume_05,novel,"['Cure', 'Czar', 'Czar', 'Czar', 'Abbe', 'Project']",0.6
A_Dozen_Ways_of_Love_18086,short story collection,"['The', 'Violetta', 'The', 'The', 'The', 'The', 'The', 'The', 'Eliz', 'Courthope', 'She', 'Courthope', 'Project']",0.5833333333333334
66581_Colville_of_the_Guards__Volume_2__of_3_,novel,"['Robert', 'Mary', 'Mary', 'Mary', 'Ellinor', 'Ellinor', 'Ellinor', 'Mary', 'Mary', 'Mary', 'Colville', 'Colville', 'Colville', 'Colville', 'Mary', 'Colville', 'Ellinor', 'She', 'Colville', 'Wodrow', 'Project']",0.55
7815_Hereward__the_Last_of_the_English,novel,"['The', 'Hereward', 'Hereward', 'Hereward', 'Hereward', 'The', 'Hereward', 'Baldwin', 'Torfrida', 'Robert', 'Hereward', 'Robert', 'Hereward', 'Dirk', 'Torfrida', 'Hereward', 'Hereward', 'Hereward', 'Hereward', 'Hereward', 'Hereward', 'Ivo', 'Hereward', 'Hereward', 'The', 'William', 'Hereward', 'Hereward', 'The', 'William', 'Hereward', 'The', 'William', 'Hereward', 'And', 'Abbot', 'Hereward', 'Hereward', 'Hereward', 'She', 'Hereward', 'Crowland', 'And', 'Project']",0.7209302325581395
The_Green_Flag_and_Other_Stories_of_War_and_Sport_10446,short story collection,"['The', 'Craddock', 'Banks', 'Montgomery', 'The', 'The', 'The', 'Danbury', 'Anerley', 'Kennedy', 'Joyce', 'Monsieur', 'Project', 'Project']",0.7692307692307693
Wee_Willie_Winkie_and_Other_Stories_63487,short story collection,"['Project', 'Project']",0.0
Sport_Royal_and_Other_Stories_40697,short story collection,"['The', 'Dumergue', 'The']",1.0
30120_The_Happy_Prince__and_Other_Tales,novel,"['David', 'The', 'The', 'Swallow', 'Nightingale', 'Giant', 'Hans', 'Rocket', 'Project', 'Project', 'Project']",0.7
1784_King_Henry_V,novel,"['This', 'None', 'Project', 'None', 'Project', 'This', 'Project', 'None', 'King', 'The', 'And', 'And', 'With', 'And', 'And', 'Kate', 'England', 'None', 'End', 'Project', 'Project', 'Project']",0.8095238095238095
The_Brownies_and_Other_Tales_16052,short story collection,"['Published', 'The', 'Project', 'Project']",0.6666666666666666
45050_The_Lady_of_Pleasure__A_Comedie__as_It_Was_Acted_b,novel,"['And', 'Project', 'Project']",0.5
14216_St__George_s_Cross__Or__England_Above_All,novel,"['Project', 'Project']",0.0
Cobwebs_from_an_Empty_Skull_12793,short story collection,"['Illustration', 'The', 'Project', 'Project']",0.6666666666666666
49344_The_Queen_s_Favourite__A_Story_of_the_Restoration,novel,"['Project', 'Project']",0.0
7596_The_Caxtons__A_Family_Picture___Volume_11,novel,"['The', 'Squills', 'How', 'The', 'Castleton', 'Project']",1.0
71228_The_confessions_of_a_well_meaning_woman,novel,"['She', 'Brackenbury', 'Phyllida', 'Spenworth', 'Will', 'Will', 'Phyllida', 'Arthur', 'Arthur', 'Will', 'Phyllida', 'Will', 'Project', 'Project', 'Project']",0.7142857142857143
Twilight_Stories_594,short story collection,"['And', 'Project', 'Project']",0.5
More_Bywords_12095,short story collection,"['The', 'Verronax', 'And', 'The', 'Sigbert', 'You', 'Avice', 'Edith', 'Martyn', 'Bessie', 'Charlie', 'Project', 'Project']",0.9166666666666666
6585_The_Works_of_Lucian_of_Samosata___Volume_02,novel,"['Attic', 'None', 'You', 'But', 'Alexander', 'The', 'Timotheus', 'Anacharsis', 'The', 'Truth', 'The', 'The', 'The', 'The', 'But', 'Alexander', 'The', 'But', 'Project', 'Project']",0.7894736842105263
4500_Complete_Project_Gutenberg_Works_of_George_Meredit,novel,"['The', 'Ripton', 'Speed', 'The', 'Adrian', 'Austin', 'Austin', 'Richard', 'Bantam', 'Richard', 'Tom', 'Richard', 'Austin', 'Richard', 'The', 'Ripton', 'Thompson', 'Sir', 'The', 'Adrian', 'Richard', 'Tom', 'Richard', 'The', 'Richard', 'Ripton', 'She', 'Berry', 'Richard', 'Berry', 'Berry', 'Adrian', 'And', 'Richard', 'Richard', 'Ripton', 'Berry', 'Richard', 'Berry', 'Richard', 'Berry', 'Richard', 'Richard', 'Richard', 'Richard', 'The', 'Pericles', 'The', 'The', 'Emilia', 'Wilfrid', 'Barrett', 'The', 'Emilia', 'Lady', 'Wilfrid', 'Wilfrid', 'The', 'Besworth', 'Wilfrid', 'Pole', 'Emilia', 'Wilfrid', 'Wilfrid', 'Emilia', 'Pericles', 'Cornelia', 'Emilia', 'Pole', 'Emilia', 'Emilia', 'Mrs', 'Emilia', 'Adela', 'Wilfrid', 'Adela', 'Pole', 'Wilfrid', 'Wilfrid', 'Braintop', 'Merthyr', 'Emilia', 'Emilia', 'Emilia', 'Merthyr', 'Chump', 'She', 'Hippogriff', 'Wilfrid', 'Emilia', 'Merthyr', 'Merthyr', 'Emilia', 'Emilia', 'Philosopher', 'Wilfrid', 'Wilfrid', 'Chump', 'She', 'Emilia', 'Wilfrid', 'Emilia', 'Merthyr', 'The', 'Anthony', 'Anthony', 'Robert', 'Rhoda', 'Edward', 'Rhoda', 'Algernon', 'Rhoda', 'Rhoda', 'Dahlia', 'Algernon', 'Gammon', 'You', 'Robert', 'Edward', 'Robert', 'Sedgett', 'Robert', 'Robert', 'Edward', 'Edward', 'Robert', 'Robert', 'Anthony', 'Sir', 'Algernon', 'Edward', 'Algernon', 'Robert', 'Algernon', 'You', 'Gammon', 'Edward', 'Rhoda', 'Rhoda', 'Edward', 'Edward', 'Robert', 'Anthony', 'Rhoda', 'Rhoda', 'Rhoda', 'Robert', 'Rhoda', 'Rhoda', 'Gammon', 'Percy', 'Kilne', 'Mrs', 'Countess', 'The', 'Andrew', 'Evan', 'Mrs', 'Tom', 'Countess', 'Evan', 'Evan', 'The', 'Evan', 'She', 'Harry', 'Evan', 'Evan', 'Evan', 'The', 'George', 'Countess', 'Mel', 'Rose', 'Countess', 'Evan', 'Mrs', 'Evan', 'Tom', 'Tom', 'Harry', 'Countess', 'Countess', 'Evan', 'Evan', 'Evan', 'Rose', 'Evan', 'Evan', 'Goren', 'Evan', 'Juliana', 'Tom', 'Juliana', 'Rose', 'Andrew', 'Evan', 'Evan', 'The', 'The', 'Carlo', 'The', 'Carlo', 'Luigi', 'Captain', 'Barto', 'Barto', 'The', 'Barto', 'The', 'Vittoria', 'Beppo', 'Luigi', 'Ammiani', 'Carlo', 'Carlo', 'The', 'The', 'The', 'The', 'Vittoria', 'Vittoria', 'Angelo', 'Angelo', 'Weisspriess', 'Vittoria', 'Laura', 'Wilfrid', 'The', 'Vittoria', 'The', 'The', 'Vittoria', 'Vittoria', 'The', 'Carlo', 'She', 'Weisspriess', 'Wilfrid', 'She', 'Beppo', 'Carlo', 'Merthyr', 'Anna', 'Merthyr', 'The', 'Mrs', 'John', 'Mrs', 'Heriot', 'Saddlebank', 'The', 'Janet', 'Temple', 'Temple', 'Temple', 'Temple', 'Temple', 'Goodwin', 'Temple', 'The', 'Temple', 'Richie', 'The', 'The', 'The', 'She', 'She', 'The', 'The', 'The', 'The', 'Professor', 'You', 'The', 'The', 'The', 'The', 'The', 'She', 'She', 'She', 'The', 'The', 'The', 'The', 'The', 'The', 'The', 'The', 'Kiomi', 'The', 'Janet', 'Captain', 'The', 'Janet', 'You', 'You', 'Janet', 'She', 'The', 'The', 'The', 'Everard', 'Nevil', 'Nevil', 'Venice', 'Roland', 'Nevil', 'Nevil', 'Renee', 'Beauchamp', 'Nevil', 'Rosamund', 'Nevil', 'Beauchamp', 'Beauchamp', 'Nevil', 'Cecilia', 'Austin', 'Beauchamp', 'Beauchamp', 'Beauchamp', 'Cecilia', 'Renee', 'Beauchamp', 'Beauchamp', 'Beauchamp', 'Beauchamp', 'Nevil', 'The', 'Shrapnel', 'Romfrey', 'Cecilia', 'Romfrey', 'Cecilia', 'Nevil', 'Shrapnel', 'Beauchamp', 'Beauchamp', 'Beauchamp', 'Renee', 'She', 'Beauchamp', 'She', 'Romfrey', 'Beauchamp', 'Austin', 'Beauchamp', 'Romfrey', 'Nevil', 'The', 'Romfrey', 'Nevil', 'Beauchamp', 'Beauchamp', 'Nevil', 'Beauchamp', 'Patterne', 'Mrs', 'Willoughby', 'Willoughby', 'She', 'She', 'She', 'She', 'Willoughby', 'Vernon', 'Willoughby', 'Vernon', 'Willoughby', 'The', 'Willoughby', 'Miss', 'Willoughby', 'Willoughby', 'Willoughby', 'The', 'She', 'Willoughby', 'Willoughby', 'Clara', 'Clara', 'Vernon', 'You', 'She', 'Willoughby', 'She', 'Laetitia', 'Laetitia', 'Laetitia', 'Willoughby', 'You', 'Lady', 'The', 'You', 'Clara', 'You', 'Willoughby', 'Crossjay', 'Willoughby', 'Dale', 'Lady', 'Willoughby', 'Willoughby', 'Laetitia', 'Laetitia', 'Craye', 'Clotilde', 'Alvan', 'She', 'The', 'Alvan', 'Clotilde', 'She', 'She', 'The', 'She', 'She', 'Alvan', 'She', 'She', 'She', 'His', 'The', 'She', 'The', 'The', 'She', 'Redworth', 'She', 'She', 'Diana', 'The', 'The', 'She', 'She', 'Redworth', 'And', 'She', 'The', 'She', 'She', 'Redworth', 'Lady', 'The', 'You', 'She', 'The', 'She', 'She', 'You', 'She', 'She', 'Diana', 'She', 'The', 'You', 'She', 'The', 'You', 'She', 'She', 'She', 'Tony', 'She', 'Emma', 'Redworth', 'You', 'Emma', 'Radnor', 'Radnor', 'Fenellan', 'Fenellan', 'London', 'And', 'Carling', 'She', 'Colney', 'Skepsey', 'She', 'Victor', 'The', 'Victor', 'Skepsey', 'She', 'Barmby', 'Victor', 'Colney', 'Radnor', 'Dartrey', 'Victor', 'Victor', 'Victor', 'She', 'Dudley', 'She', 'Nesta', 'Nesta', 'She', 'Skepsey', 'She', 'She', 'She', 'Nesta', 'She', 'Victor', 'She', 'She', 'Nataly', 'Nesta', 'The', 'Matey', 'Ormont', 'She', 'She', 'The', 'The', 'Aminta', 'Ormont', 'Mrs', 'Weyburn', 'The', 'She', 'The', 'Lady', 'She', 'She', 'She', 'She', 'Morsfield', 'Cumnock', 'Aminta', 'She', 'You', 'She', 'She', 'She', 'Weyburn', 'Matey', 'She', 'The', 'The', 'Kirby', 'Countess', 'Kirby', 'The', 'She', 'Chillon', 'She', 'Woodseer', 'Fleetwood', 'Woodseer', 'She', 'She', 'Lord', 'The', 'She', 'Kit', 'She', 'Gower', 'She', 'The', 'She', 'She', 'The', 'She', 'She', 'She', 'The', 'She', 'The', 'She', 'You', 'She', 'Fleetwood', 'The', 'She', 'She', 'She', 'She', 'Fleetwood', 'Gower', 'She', 'You', 'She', 'The', 'She', 'The', 'Chillon', 'Patrick', 'Patrick', 'Patrick', 'Patrick', 'She', 'Adister', 'Patrick', 'Patrick', 'Philip', 'Philip', 'And', 'Patrick', 'The', 'Mattock', 'The', 'Bull', 'Colesworth', 'Jane', 'The', 'General', 'General', 'General', 'General', 'General', 'General', 'General', 'General', 'The', 'Beamish', 'Chloe', 'Beamish', 'Chloe', 'Chloe', 'Beamish', 'You', 'She', 'Chloe', 'Tinman', 'Crickledon', 'Tinman', 'Tinman', 'Tinman', 'Tinman', 'Crickledon', 'Annette', 'Tinman', 'Tinman', 'Tinman', 'Van', 'Alice', 'Pollingray', 'The', 'Pollingray', 'The', 'The']",0.7686335403726708
The_Plattner_Story_and_Others_42989,short story collection,"['None', 'Plattner', 'Monson', 'The', 'Hinchcliff', 'The', 'Fison', 'Pollock', 'The', 'Horrocks', 'Coombes', 'Jane', 'Vair', 'Winslow', 'And', 'Delia', 'Hill', 'Project', 'Project', 'Project']",0.8947368421052632
5524_The_Bride_of_the_Nile___Volume_08,novel,"['Orion', 'Orion', 'Orion', 'Project']",0.3333333333333333
20075_Frank_Fairlegh__Scenes_from_the_Life_of_a_Private_,novel,"['Mildman', 'Thomas', 'Coleman', 'Coleman', 'The', 'Lawless', 'Oaklands', 'Oaklands', 'Cumberland', 'Lawless', 'Lawless', 'The', 'Coleman', 'Coleman', 'Lawless', 'Coleman', 'Lawless', 'Saville', 'Dullmug', 'Oaklands', 'Lawless', 'Wilford', 'Oaklands', 'Wilford', 'Harry', 'Wilford', 'Ellis', 'Ellis', 'Umph', 'Umph', 'Frampton', 'Coleman', 'Coleman', 'Mrs', 'Saville', 'Cumberland', 'Cumberland', 'Saville', 'Ellis', 'Lawless', 'Lawless', 'Fanny', 'Susan', 'Lawless', 'Lawless', 'Fanny', 'Lawless', 'Clara', 'Umph', 'Clara', 'Clara', 'Lawless', 'Lawless', 'Vernor', 'Peter', 'Cumberland', 'Project']",0.7857142857142857
Amusement_Only_38188,short story collection,"['Project', 'Project']",0.0
18550_Erechtheus__A_Tragedy__New_Edition_,novel,"['And', 'Project', 'Project']",0.5
5052_Absalom_s_Hair,novel,"['She', 'The', 'She', 'She', 'Project']",0.75
The_Cornish_Fishermen_s_Watch-Night__and_Other_Stories_42568,short story collection,"['The', 'Project', 'Project', 'Project']",0.3333333333333333
Tales_of_Mean_Streets_40569,short story collection,"['University', 'The', 'The', 'Project', 'Project']",0.5
Joe_Wilson_and_his_Mates_1036,short story collection,"['Australia', 'The', 'Project', 'Project']",0.6666666666666666
55960_The_Lady_from_Nowhere__A_Detective_Story,novel,"['Gebb', 'Gebb', 'Gebb', 'Miss', 'Parge', 'Kirkstone', 'Dean', 'Prain', 'Gebb', 'Miss', 'Gebb', 'Gebb', 'Ferris', 'Ferris', 'Ferris', 'Basson', 'Miss', 'Gebb', 'Gebb', 'Gebb', 'Dean', 'Gebb', 'Gebb', 'Dean', 'Gebb', 'Project']",0.68
459_The_White_People,novel,"['But', 'Angus', 'Jean', 'You', 'She', 'The', 'The', 'Malcolm', 'Yes', 'Project']",0.8888888888888888
Rodman_the_Boatsteerer__and_Other_Stories_24836,short story collection,"['Louis', 'The', 'Blackett', 'Prout', 'The', 'Deasy', 'Rauparaha', 'Randolph', 'Lester', 'Channing', 'Proctor', 'Captain', 'Jim', 'Jinaban', 'Project', 'Project']",0.9333333333333333
72353_The_Lindsays____b_A_romance_of_Scottish_life__Volu,novel,"['Project', 'Project']",0.0
17377_The_Works_of_Guy_de_Maupassant__Volume_4,novel,"['The', 'None', 'She', 'She', 'Monsieur', 'General', 'Monsieur', 'Madame', 'You', 'Monsieur', 'She', 'Caravan', 'Viteska', 'Angelica', 'Count', 'Princess', 'Prince', 'The', 'Pole', 'She', 'You', 'The', 'The', 'Pavilly', 'The', 'But', 'She', 'Marseilles', 'She', 'Paris', 'The', 'The', 'The', 'The', 'Victor', 'The', 'Project', 'Project']",0.8378378378378378
The_Rudder_Grangers_Abroad_and_Other_Stories_11671,short story collection,"['The', 'The', 'Project', 'Project']",0.3333333333333333
36220_My_Little_Sister,novel,"['Bettina', 'Bettina', 'The', 'Bettina', 'Bettina', 'Martha', 'Bettina', 'The', 'But', 'Hermione', 'Eric', 'Ranny', 'She', 'Bettina', 'You', 'Helmstone', 'She', 'Ranny', 'Ranny', 'Bettina', 'Bettina', 'Eric', 'Hawkins', 'Aurore', 'Betty', 'She', 'The', 'The', 'The', 'The', 'The', 'The', 'Ranny', 'Project']",0.7272727272727273
2433_Donal_Grant,novel,"['Donal', 'Donal', 'Donal', 'Donal', 'Donal', 'Donal', 'Donal', 'Donal', 'Donal', 'Donal', 'Donal', 'Donal', 'The', 'Donal', 'Donal', 'Donal', 'God', 'Davie', 'Donal', 'Donal', 'Donal', 'But', 'Graeme', 'Donal', 'Donal', 'Donal', 'The', 'Donal', 'But', 'Donal', 'Donal', 'Donal', 'Donal', 'Donal', 'Forgue', 'Donal', 'Eppy', 'God', 'Donal', 'Davie', 'Davie', 'Donal', 'Eppy', 'Donal', 'God', 'Donal', 'Donal', 'Donal', 'Donal', 'Arctura', 'Donal', 'Donal', 'But', 'Arctura', 'Donal', 'Donal', 'But', 'Donal', 'Donal', 'God', 'God', 'Donal', 'Donal', 'She', 'The', 'Donal', 'Arctura', 'Donal', 'Donal', 'Donal', 'Donal', 'But', 'There', 'The', 'She', 'Donal', 'Donal', 'Donal', 'God', 'God', 'Donal', 'Donal', 'Donal', 'Project']",0.5421686746987951
Melchior_s_Dream_and_Other_Tales_16540,short story collection,"['Monsieur', 'Monsieur', 'Monsieur', 'Bill', 'The', 'Bill', 'Bill', 'James', 'Joseph', 'Maud', 'And', 'Cocky', 'Project']",0.75
